date,open,high,low,close,volume
2015/6/24,127.21 ,129.80 ,127.12 ,128.11 ,55280900.00 
2015/6/25,128.86 ,129.20 ,127.50 ,127.50 ,31938100.00 
2015/6/26,127.67 ,127.99 ,126.51 ,126.75 ,44066800.00 
2015/6/29,125.46 ,126.47 ,124.48 ,124.53 ,49161400.00 
2015/6/30,125.57 ,126.12 ,124.86 ,125.43 ,44370700.00 
2015/7/1,126.90 ,126.94 ,125.99 ,126.60 ,30238800.00 
2015/7/2,126.43 ,126.69 ,125.77 ,126.44 ,27211000.00 
2015/7/6,124.94 ,126.23 ,124.85 ,126.00 ,28060400.00 
2015/7/7,125.89 ,126.15 ,123.77 ,125.69 ,46946800.00 
2015/7/8,124.48 ,124.64 ,122.54 ,122.57 ,60761600.00 
2015/7/9,123.85 ,124.06 ,119.22 ,120.07 ,77821600.00 
2015/7/10,121.94 ,123.85 ,121.21 ,123.28 ,61354500.00 
2015/7/13,125.03 ,125.76 ,124.32 ,125.66 ,41440500.00 
2015/7/14,126.04 ,126.37 ,125.04 ,125.61 ,31768100.00 
2015/7/15,125.72 ,127.15 ,125.58 ,126.82 ,33649200.00 
2015/7/16,127.74 ,128.57 ,127.35 ,128.51 ,36222400.00 
2015/7/17,129.08 ,129.62 ,128.31 ,129.62 ,46164700.00 
2015/7/20,130.97 ,132.97 ,130.70 ,132.07 ,58900200.00 
2015/7/21,132.85 ,132.92 ,130.32 ,130.75 ,76756400.00 
2015/7/22,121.99 ,125.50 ,121.99 ,125.22 ,115450600.00 
2015/7/23,126.20 ,127.09 ,125.06 ,125.16 ,50999500.00 
2015/7/24,125.32 ,125.74 ,123.90 ,124.50 ,42162300.00 
2015/7/27,123.09 ,123.61 ,122.12 ,122.77 ,44455500.00 
2015/7/28,123.38 ,123.91 ,122.55 ,123.38 ,33618100.00 
2015/7/29,123.15 ,123.50 ,122.27 ,122.99 ,37011700.00 
2015/7/30,122.32 ,122.57 ,121.71 ,122.37 ,33628300.00 
2015/7/31,122.60 ,122.64 ,120.91 ,121.30 ,42885000.00 
2015/8/3,121.50 ,122.57 ,117.52 ,118.44 ,69976000.00 
2015/8/4,117.42 ,117.70 ,113.25 ,114.64 ,124138600.00 
2015/8/5,112.95 ,117.44 ,112.10 ,115.40 ,99312600.00 
2015/8/6,115.97 ,116.50 ,114.12 ,115.13 ,52903000.00 
2015/8/7,114.58 ,116.25 ,114.50 ,115.52 ,38670400.00 
2015/8/10,116.53 ,119.99 ,116.53 ,119.72 ,54951600.00 
2015/8/11,117.81 ,118.18 ,113.33 ,113.49 ,97082800.00 
2015/8/12,112.53 ,115.42 ,109.63 ,115.24 ,101217500.00 
2015/8/13,116.04 ,116.40 ,114.54 ,115.15 ,48535800.00 
2015/8/14,114.32 ,116.31 ,114.01 ,115.96 ,42929500.00 
2015/8/17,116.04 ,117.65 ,115.50 ,117.16 ,40884700.00 
2015/8/18,116.43 ,117.44 ,116.01 ,116.50 ,34560700.00 
2015/8/19,116.10 ,116.52 ,114.68 ,115.01 ,47445700.00 
2015/8/20,114.08 ,114.35 ,111.63 ,112.65 ,68501600.00 
2015/8/21,110.43 ,111.90 ,105.65 ,105.76 ,128275500.00 
2015/8/24,94.87 ,108.80 ,92.00 ,103.12 ,162206300.00 
2015/8/25,111.11 ,111.11 ,103.50 ,103.74 ,103601600.00 
2015/8/26,107.09 ,109.89 ,105.05 ,109.69 ,96774600.00 
2015/8/27,112.23 ,113.24 ,110.02 ,112.92 ,84616100.00 
2015/8/28,112.17 ,113.31 ,111.54 ,113.29 ,53164400.00 
2015/8/31,112.03 ,114.53 ,112.00 ,112.76 ,56229300.00 
2015/9/1,110.15 ,111.88 ,107.36 ,107.72 ,76845900.00 
2015/9/2,110.23 ,112.34 ,109.13 ,112.34 ,61888800.00 
2015/9/3,112.49 ,112.78 ,110.04 ,110.37 ,53233900.00 
2015/9/4,108.97 ,110.45 ,108.51 ,109.27 ,49996300.00 
2015/9/8,111.75 ,112.56 ,110.32 ,112.31 ,54843600.00 
2015/9/9,113.76 ,114.02 ,109.77 ,110.15 ,85010800.00 
2015/9/10,110.27 ,113.28 ,109.90 ,112.57 ,62892800.00 
2015/9/11,111.79 ,114.21 ,111.76 ,114.21 ,49915500.00 
2015/9/14,116.58 ,116.89 ,114.86 ,115.31 ,58363400.00 
2015/9/15,115.93 ,116.53 ,114.42 ,116.28 ,43341200.00 
2015/9/16,116.25 ,116.54 ,115.44 ,116.41 ,37173500.00 
2015/9/17,115.66 ,116.49 ,113.72 ,113.92 ,64112600.00 
2015/9/18,112.21 ,114.30 ,111.87 ,113.45 ,74285300.00 
2015/9/21,113.67 ,115.37 ,113.66 ,115.21 ,50222000.00 
2015/9/22,113.38 ,114.18 ,112.52 ,113.40 ,50346200.00 
2015/9/23,113.63 ,114.72 ,113.30 ,114.32 ,35756700.00 
2015/9/24,113.25 ,115.50 ,112.37 ,115.00 ,50219500.00 
2015/9/25,116.44 ,116.69 ,114.02 ,114.71 ,56151900.00 
2015/9/28,113.85 ,114.57 ,112.44 ,112.44 ,52109000.00 
2015/9/29,112.83 ,113.51 ,107.86 ,109.06 ,73365400.00 
2015/9/30,110.17 ,111.54 ,108.73 ,110.30 ,66473000.00 
2015/10/1,109.07 ,109.62 ,107.31 ,109.58 ,63929100.00 
2015/10/2,108.01 ,111.01 ,107.55 ,110.38 ,58019800.00 
2015/10/5,109.88 ,111.37 ,109.07 ,110.78 ,52064700.00 
2015/10/6,110.63 ,111.74 ,109.77 ,111.31 ,48857000.00 
2015/10/7,111.74 ,111.77 ,109.41 ,110.78 ,46765600.00 
2015/10/8,110.19 ,110.19 ,108.21 ,109.50 ,61979600.00 
2015/10/9,110.00 ,112.28 ,109.49 ,112.12 ,52766100.00 
2015/10/12,112.73 ,112.75 ,111.44 ,111.60 ,30467200.00 
2015/10/13,110.82 ,112.45 ,110.68 ,111.79 ,33049300.00 
2015/10/14,111.29 ,111.52 ,109.56 ,110.21 ,44462400.00 
2015/10/15,110.93 ,112.10 ,110.49 ,111.86 ,37673500.00 
2015/10/16,111.78 ,112.00 ,110.53 ,111.04 ,38236300.00 
2015/10/19,110.80 ,111.75 ,110.11 ,111.73 ,29759200.00 
2015/10/20,111.34 ,114.17 ,110.82 ,113.77 ,48967800.00 
2015/10/21,114.00 ,115.58 ,113.70 ,113.76 ,41795200.00 
2015/10/22,114.33 ,115.50 ,114.10 ,115.50 ,41654100.00 
2015/10/23,116.70 ,119.23 ,116.33 ,119.08 ,59366900.00 
2015/10/26,118.08 ,118.13 ,114.92 ,115.28 ,66333800.00 
2015/10/27,115.40 ,116.54 ,113.99 ,114.55 ,69884400.00 
2015/10/28,116.93 ,119.30 ,116.06 ,119.27 ,85551400.00 
2015/10/29,118.70 ,120.69 ,118.27 ,120.53 ,51227300.00 
2015/10/30,120.99 ,121.22 ,119.45 ,119.50 ,49365300.00 
2015/11/2,120.80 ,121.36 ,119.61 ,121.18 ,32203300.00 
2015/11/3,120.79 ,123.49 ,120.70 ,122.57 ,45519000.00 
2015/11/4,123.13 ,123.82 ,121.62 ,122.00 ,44886100.00 
2015/11/5,121.85 ,122.69 ,120.18 ,120.92 ,39552700.00 
2015/11/6,121.11 ,121.81 ,120.62 ,121.06 ,33042300.00 
2015/11/9,120.96 ,121.81 ,120.05 ,120.57 ,33871400.00 
2015/11/10,116.90 ,118.07 ,116.06 ,116.77 ,59127900.00 
2015/11/11,116.37 ,117.42 ,115.21 ,116.11 ,45218000.00 
2015/11/12,116.26 ,116.82 ,115.65 ,115.72 ,32525600.00 
2015/11/13,115.20 ,115.57 ,112.27 ,112.34 ,45812400.00 
2015/11/16,111.38 ,114.24 ,111.00 ,114.18 ,38106700.00 
2015/11/17,114.92 ,115.05 ,113.32 ,113.69 ,27616900.00 
2015/11/18,115.76 ,117.49 ,115.50 ,117.29 ,46674700.00 
2015/11/19,117.64 ,119.75 ,116.76 ,118.78 ,43295800.00 
2015/11/20,119.20 ,119.92 ,118.85 ,119.30 ,34287100.00 
2015/11/23,119.27 ,119.73 ,117.34 ,117.75 ,32482500.00 
2015/11/24,117.33 ,119.35 ,117.12 ,118.88 ,42803200.00 
2015/11/25,119.21 ,119.23 ,117.92 ,118.03 ,21388300.00 
2015/11/27,118.29 ,118.41 ,117.60 ,117.81 ,13046400.00 
2015/11/30,117.99 ,119.41 ,117.75 ,118.30 ,39180300.00 
2015/12/1,118.75 ,118.81 ,116.86 ,117.34 ,34852400.00 
2015/12/2,117.34 ,118.11 ,116.08 ,116.28 ,33386600.00 
2015/12/3,116.55 ,116.79 ,114.22 ,115.20 ,41569500.00 
2015/12/4,115.29 ,119.25 ,115.11 ,119.03 ,57777000.00 
2015/12/7,118.98 ,119.86 ,117.81 ,118.28 ,32084200.00 
2015/12/8,117.52 ,118.60 ,116.86 ,118.23 ,34309500.00 
2015/12/9,117.64 ,117.69 ,115.08 ,115.62 ,46361400.00 
2015/12/10,116.04 ,116.94 ,115.51 ,116.17 ,29212700.00 
2015/12/11,115.19 ,115.39 ,112.85 ,113.18 ,46886200.00 
2015/12/14,112.18 ,112.68 ,109.79 ,112.48 ,64318700.00 
2015/12/15,111.94 ,112.80 ,110.35 ,110.49 ,52978100.00 
2015/12/16,111.07 ,111.99 ,108.80 ,111.34 ,56238500.00 
2015/12/17,112.02 ,112.25 ,108.98 ,108.98 ,44772800.00 
2015/12/18,108.91 ,109.52 ,105.81 ,106.03 ,96453300.00 
2015/12/21,107.28 ,107.37 ,105.57 ,107.33 ,47590600.00 
2015/12/22,107.40 ,107.72 ,106.45 ,107.23 ,32789400.00 
2015/12/23,107.27 ,108.85 ,107.20 ,108.61 ,32657400.00 
2015/12/24,109.00 ,109.00 ,107.95 ,108.03 ,13596700.00 
2015/12/28,107.59 ,107.69 ,106.18 ,106.82 ,26704200.00 
2015/12/29,106.96 ,109.43 ,106.86 ,108.74 ,30931200.00 
2015/12/30,108.58 ,108.70 ,107.18 ,107.32 ,25213800.00 
2015/12/31,107.01 ,107.03 ,104.82 ,105.26 ,40912300.00 
2016/1/4,102.61 ,105.37 ,102.00 ,105.35 ,67649400.00 
2016/1/5,105.75 ,105.85 ,102.41 ,102.71 ,55791000.00 
2016/1/6,100.56 ,102.37 ,99.87 ,100.70 ,68457400.00 
2016/1/7,98.68 ,100.13 ,96.43 ,96.45 ,81094400.00 
2016/1/8,98.55 ,99.11 ,96.76 ,96.96 ,70798000.00 
2016/1/11,98.97 ,99.06 ,97.34 ,98.53 ,49739400.00 
2016/1/12,100.55 ,100.69 ,98.84 ,99.96 ,49154200.00 
2016/1/13,100.32 ,101.19 ,97.30 ,97.39 ,62439600.00 
2016/1/14,97.96 ,100.48 ,95.74 ,99.52 ,63170100.00 
2016/1/15,96.20 ,97.71 ,95.36 ,97.13 ,79833900.00 
2016/1/19,98.41 ,98.65 ,95.50 ,96.66 ,53087700.00 
2016/1/20,95.10 ,98.19 ,93.42 ,96.79 ,72334400.00 
2016/1/21,97.06 ,97.88 ,94.94 ,96.30 ,52161500.00 
2016/1/22,98.63 ,101.46 ,98.37 ,101.42 ,65800500.00 
2016/1/25,101.52 ,101.53 ,99.21 ,99.44 ,51794500.00 
2016/1/26,99.93 ,100.88 ,98.07 ,99.99 ,75077000.00 
2016/1/27,96.04 ,96.63 ,93.34 ,93.42 ,133369700.00 
2016/1/28,93.79 ,94.52 ,92.39 ,94.09 ,55678800.00 
2016/1/29,94.79 ,97.34 ,94.35 ,97.34 ,64416500.00 
2016/2/1,96.47 ,96.71 ,95.40 ,96.43 ,40943500.00 
2016/2/2,95.42 ,96.04 ,94.28 ,94.48 ,37357200.00 
2016/2/3,95.00 ,96.84 ,94.08 ,96.35 ,45964300.00 
2016/2/4,95.86 ,97.33 ,95.19 ,96.60 ,46471700.00 
2016/2/5,96.52 ,96.92 ,93.69 ,94.02 ,46418100.00 
2016/2/8,93.13 ,95.70 ,93.04 ,95.01 ,54021400.00 
2016/2/9,94.29 ,95.94 ,93.93 ,94.99 ,44331200.00 
2016/2/10,95.92 ,96.35 ,94.10 ,94.27 ,42343600.00 
2016/2/11,93.79 ,94.72 ,92.59 ,93.70 ,50074700.00 
2016/2/12,94.19 ,94.50 ,93.01 ,93.99 ,40351400.00 
2016/2/16,95.02 ,96.85 ,94.61 ,96.64 ,49057900.00 
2016/2/17,96.67 ,98.21 ,96.15 ,98.12 ,44863200.00 
2016/2/18,98.84 ,98.89 ,96.09 ,96.26 ,39021000.00 
2016/2/19,96.00 ,96.76 ,95.80 ,96.04 ,35374200.00 
2016/2/22,96.31 ,96.90 ,95.92 ,96.88 ,34280800.00 
2016/2/23,96.40 ,96.50 ,94.55 ,94.69 ,31942600.00 
2016/2/24,93.98 ,96.38 ,93.32 ,96.10 ,36255700.00 
2016/2/25,96.05 ,96.76 ,95.25 ,96.76 ,27582700.00 
2016/2/26,97.20 ,98.02 ,96.58 ,96.91 ,28991100.00 
2016/2/29,96.86 ,98.23 ,96.65 ,96.69 ,35216300.00 
2016/3/1,97.65 ,100.77 ,97.42 ,100.53 ,50407100.00 
2016/3/2,100.51 ,100.89 ,99.64 ,100.75 ,33169600.00 
2016/3/3,100.58 ,101.71 ,100.45 ,101.50 ,36955700.00 
2016/3/4,102.37 ,103.75 ,101.37 ,103.01 ,46055100.00 
2016/3/7,102.39 ,102.83 ,100.96 ,101.87 ,35828900.00 
2016/3/8,100.78 ,101.76 ,100.40 ,101.03 ,31561900.00 
2016/3/9,101.31 ,101.58 ,100.27 ,101.12 ,27201700.00 
2016/3/10,101.41 ,102.24 ,100.15 ,101.17 ,33513600.00 
2016/3/11,102.24 ,102.28 ,101.50 ,102.26 ,27408200.00 
2016/3/14,101.91 ,102.91 ,101.78 ,102.52 ,25076100.00 
2016/3/15,103.96 ,105.18 ,103.85 ,104.58 ,40067700.00 
2016/3/16,104.61 ,106.31 ,104.59 ,105.97 ,38303500.00 
2016/3/17,105.52 ,106.47 ,104.96 ,105.80 ,34420700.00 
2016/3/18,106.34 ,106.50 ,105.19 ,105.92 ,44205200.00 
2016/3/21,105.93 ,107.65 ,105.14 ,105.91 ,35502700.00 
2016/3/22,105.25 ,107.29 ,105.21 ,106.72 ,32444400.00 
2016/3/23,106.48 ,107.07 ,105.90 ,106.13 ,25703500.00 
2016/3/24,105.47 ,106.25 ,104.89 ,105.67 ,26133000.00 
2016/3/28,106.00 ,106.19 ,105.06 ,105.19 ,19411400.00 
2016/3/29,104.89 ,107.79 ,104.88 ,107.68 ,31190100.00 
2016/3/30,108.65 ,110.42 ,108.60 ,109.56 ,45601100.00 
2016/3/31,109.72 ,109.90 ,108.88 ,108.99 ,25888400.00 
2016/4/1,108.78 ,110.00 ,108.20 ,109.99 ,25874000.00 
2016/4/4,110.42 ,112.19 ,110.27 ,111.12 ,37356200.00 
2016/4/5,109.51 ,110.73 ,109.42 ,109.81 ,26578700.00 
2016/4/6,110.23 ,110.98 ,109.20 ,110.96 ,26404100.00 
2016/4/7,109.95 ,110.42 ,108.12 ,108.54 ,31801900.00 
2016/4/8,108.91 ,109.77 ,108.17 ,108.66 ,23581700.00 
2016/4/11,108.97 ,110.61 ,108.83 ,109.02 ,29407500.00 
2016/4/12,109.34 ,110.50 ,108.66 ,110.44 ,27232300.00 
2016/4/13,110.80 ,112.34 ,110.80 ,112.04 ,33257300.00 
2016/4/14,111.62 ,112.39 ,111.33 ,112.10 ,25473900.00 
2016/4/15,112.11 ,112.30 ,109.73 ,109.85 ,46939000.00 
2016/4/18,108.89 ,108.95 ,106.94 ,107.48 ,60821500.00 
2016/4/19,107.88 ,108.00 ,106.23 ,106.91 ,32384900.00 
2016/4/20,106.64 ,108.09 ,106.06 ,107.13 ,30611000.00 
2016/4/21,106.93 ,106.93 ,105.52 ,105.97 ,31552500.00 
2016/4/22,105.01 ,106.48 ,104.62 ,105.68 ,33683100.00 
2016/4/25,105.00 ,105.65 ,104.51 ,105.08 ,28031600.00 
2016/4/26,103.91 ,105.30 ,103.91 ,104.35 ,56016200.00 
2016/4/27,96.00 ,98.71 ,95.68 ,97.82 ,114602100.00 
2016/4/28,97.61 ,97.88 ,94.25 ,94.83 ,82242700.00 
2016/4/29,93.99 ,94.72 ,92.51 ,93.74 ,68531500.00 
2016/5/2,93.97 ,94.08 ,92.40 ,93.64 ,48160100.00 
2016/5/3,94.20 ,95.74 ,93.68 ,95.18 ,56831300.00 
2016/5/4,95.20 ,95.90 ,93.82 ,94.19 ,41025500.00 
2016/5/5,94.00 ,94.07 ,92.68 ,93.24 ,35890500.00 
2016/5/6,93.37 ,93.45 ,91.85 ,92.72 ,43699900.00 
2016/5/9,93.00 ,93.77 ,92.59 ,92.79 ,32936400.00 
2016/5/10,93.33 ,93.57 ,92.11 ,93.42 ,33686800.00 
2016/5/11,93.48 ,93.57 ,92.46 ,92.51 ,28719100.00 
2016/5/12,92.72 ,92.78 ,89.47 ,90.34 ,76314700.00 
2016/5/13,90.00 ,91.67 ,90.00 ,90.52 ,44392800.00 
2016/5/16,92.39 ,94.39 ,91.65 ,93.88 ,61259800.00 
2016/5/17,94.55 ,94.70 ,93.01 ,93.49 ,46916900.00 
2016/5/18,94.16 ,95.21 ,93.89 ,94.56 ,42062400.00 
2016/5/19,94.64 ,94.64 ,93.57 ,94.20 ,30442100.00 
2016/5/20,94.64 ,95.43 ,94.52 ,95.22 ,32026000.00 
2016/5/23,95.87 ,97.19 ,95.67 ,96.43 ,38018600.00 
2016/5/24,97.22 ,98.09 ,96.84 ,97.90 ,35140200.00 
2016/5/25,98.67 ,99.74 ,98.11 ,99.62 ,38168800.00 
2016/5/26,99.68 ,100.73 ,98.64 ,100.41 ,56331200.00 
2016/5/27,99.44 ,100.47 ,99.25 ,100.35 ,36341200.00 
2016/5/31,99.60 ,100.40 ,98.82 ,99.86 ,42307200.00 
2016/6/1,99.02 ,99.54 ,98.33 ,98.46 ,29173300.00 
2016/6/2,97.60 ,97.84 ,96.63 ,97.72 ,40191600.00 
2016/6/3,97.79 ,98.27 ,97.45 ,97.92 ,28504900.00 
2016/6/6,97.99 ,101.89 ,97.55 ,98.63 ,23292500.00 
2016/6/7,99.25 ,99.87 ,98.96 ,99.03 ,22409500.00 
2016/6/8,99.02 ,99.56 ,98.68 ,98.94 ,20848100.00 
2016/6/9,98.50 ,99.99 ,98.46 ,99.65 ,26601400.00 
2016/6/10,98.53 ,99.35 ,98.48 ,98.83 ,31712900.00 
2016/6/13,98.69 ,99.12 ,97.10 ,97.34 ,38020500.00 
2016/6/14,97.32 ,98.48 ,96.75 ,97.46 ,31931900.00 
2016/6/15,97.82 ,98.41 ,97.03 ,97.14 ,29445200.00 
2016/6/16,96.45 ,97.75 ,96.07 ,97.55 ,31326800.00 
